12,1981,4.0692,0.3117,0.0305,0.7112,0.6117,0.6056,0.7995,0.6855,0.8934,0.5618,0.4967,0.5901,0.8431,0.1881,11.3981
1,1982,4.0978,0.3882,0.0552,0.8710,0.7383,0.9089,0.8397,0.6874,0.8905,0.5634,0.5004,0.5850,1.2128,0.6838,13.0223
2,1982,4.1060,0.3878,0.1545,1.1718,0.6990,0.9473,0.8478,0.6833,0.8949,0.5331,0.4613,0.5843,1.2641,1.0109,13.7462
3,1982,4.1125,0.4587,0.1741,1.2524,0.6272,0.9122,0.8516,0.6908,0.9012,0.5531,0.4725,0.5902,1.2701,1.1436,14.0102
4,1982,4.1406,0.4501,0.0584,1.1260,0.6207,0.9209,0.8472,0.6915,0.9038,0.5659,0.4841,0.5953,1.2481,0.8949,13.5476
5,1982,4.1443,0.2372,0.0411,0.9746,0.5312,0.6712,0.8121,0.6913,0.9050,0.5663,0.4684,0.6020,1.1371,0.2658,12.0475
6,1982,4.0864,0.0372,0.0074,0.6933,0.4513,0.5188,0.7100,0.6188,0.8490,0.4352,0.3776,0.5288,0.8705,0.0565,10.2408
7,1982,3.8290,0.0061,0.0000,0.2770,0.3026,0.2753,0.5095,0.4682,0.7593,0.2559,0.2368,0.4549,0.2842,0.0000,7.6588
8,1982,3.7053,0.0022,0.0000,0.0701,0.1657,0.1147,0.2728,0.2659,0.5692,0.1470,0.1867,0.3190,0.0555,0.0000,5.8739
9,1982,3.4928,0.0064,0.0000,0.0580,0.2316,0.1124,0.1812,0.1492,0.4712,0.1196,0.1370,0.3119,0.0317,0.0010,5.3040
10,1982,3.7342,0.0197,0.0014,0.1949,0.2979,0.2738,0.5201,0.4981,0.7559,0.2447,0.3525,0.5375,0.0630,0.0268,7.5205
11,1982,3.9419,0.0614,0.0268,0.5736,0.3926,0.4375,0.8068,0.6866,0.8820,0.4449,0.5105,0.5910,0.4398,0.0540,9.8494
12,1982,4.0270,0.1982,0.0338,0.9758,0.4988,0.4644,0.8110,0.6855,0.8872,0.5426,0.5078,0.5966,1.1729,0.3857,11.7873
1,1983,4.0271,0.4674,0.0740,1.3979,0.5048,0.5013,0.8277,0.6783,0.8925,0.5699,0.5038,0.5911,1.2621,0.6950,12.9929
2,1983,4.0383,0.5722,0.1381,1.4703,0.5780,0.6128,0.8325,0.6748,0.8918,0.5706,0.5024,0.5911,1.2766,1.2057,13.9552
3,1983,4.0209,0.5825,0.1197,1.5099,0.5828,0.5969,0.8378,0.6839,0.9014,0.5749,0.5065,0.5918,1.2554,1.1502,13.9147
4,1983,4.0515,0.4799,0.0526,1.3769,0.5314,0.6401,0.8432,0.6818,0.9052,0.5764,0.5034,0.5966,1.2426,0.6031,13.0849
5,1983,4.0676,0.1709,0.0392,1.0253,0.4800,0.5255,0.8191,0.6672,0.8944,0.5596,0.5050,0.6045,1.1936,0.1740,11.7257
