1959,1,-2.6,3.79,6.83,-0.9
1959,2,13.5,7,6.64,1
1959,3,-1.3,12.44,4.69,-2.9
1959,4,20.1,24.75,4.21,-1.1
1959,5,38.5,39.26,2.86,-0.3
1959,6,50.7,50.32,1.47,0.3
1959,7,48.9,53.77,1.57,-3.1
1959,8,49.5,50.02,2.01,-0.3
1959,9,40,40.84,2.88,-0.3
1959,10,24.8,25.22,4.17,-0.1
1959,11,14.4,11.77,5.08,0.5
1959,12,-1.2,6.98,5.18,-1.6
1960,1,4.7,3.79,6.83,0.1
1960,2,11.7,7,6.64,0.7
1960,3,8.7,12.44,4.69,-0.8
1960,4,17.7,24.75,4.21,-1.7
1960,5,41.1,39.26,2.86,0.6
1960,6,47.3,50.32,1.47,-2.1
1960,7,52.8,53.77,1.57,-0.6
1960,8,48.8,50.02,2.01,-0.6
1960,9,38.3,40.84,2.88,-0.9
1960,10,25.8,25.22,4.17,0.1
1960,11,9,11.77,5.08,-0.5
1960,12,14.9,6.98,5.18,1.5
1961,1,9.7,3.79,6.83,0.9
1961,2,-0.4,7,6.64,-1.1
1961,3,3.4,12.44,4.69,-1.9
1961,4,20.3,24.75,4.21,-1.1
1961,5,40,39.26,2.86,0.3
1961,6,48.3,50.32,1.47,-1.4
1961,7,51,53.77,1.57,-1.8
1961,8,48.6,50.02,2.01,-0.7
1961,9,41,40.84,2.88,0.1
1961,10,21.8,25.22,4.17,-0.8
1961,11,8.7,11.77,5.08,-0.6
1961,12,-7.9,6.98,5.18,-2.9
1962,1,3.3,3.79,6.83,-0.1
1962,2,13,7,6.64,0.9
1962,3,10.4,12.44,4.69,-0.4
1962,4,22.9,24.75,4.21,-0.4
1962,5,35,39.26,2.86,-1.5
1962,6,48.3,50.32,1.47,-1.4
1962,7,54.6,53.77,1.57,0.5
1962,8,51.2,50.02,2.01,0.6
1962,9,38.4,40.84,2.88,-0.8
1962,10,27.6,25.22,4.17,0.6
1962,11,12.6,11.77,5.08,0.2
1962,12,4.8,6.98,5.18,-0.4
1963,1,10.7,3.79,6.83,1
1963,2,8.5,7,6.64,0.2
1963,3,9.6,12.44,4.69,-0.6
1963,4,21.6,24.75,4.21,-0.7
1963,5,39.6,39.26,2.86,0.1
1963,6,46,50.32,1.47,-2.9
1963,7,51.9,53.77,1.57,-1.2
1963,8,49.2,50.02,2.01,-0.4
1963,9,42.6,40.84,2.88,0.6
1963,10,24.7,25.22,4.17,-0.1
1963,11,1.7,11.77,5.08,-2
1963,12,12.7,6.98,5.18,1.1
1964,1,-0.1,3.79,6.83,-0.6
1964,2,2.6,7,6.64,-0.7
1964,3,3.2,12.44,4.69,-2
1964,4,19.1,24.75,4.21,-1.3
1964,5,31.7,39.26,2.86,-2.6
1964,6,49.5,50.32,1.47,-0.6
1964,7,52.2,53.77,1.57,-1
1964,8,49.3,50.02,2.01,-0.4
1964,9,41.5,40.84,2.88,0.2
1964,10,27.7,25.22,4.17,0.6
1964,11,11.3,11.77,5.08,-0.1
1964,12,-8.9,6.98,5.18,-3.1
1965,1,-1.8,3.79,6.83,-0.8
1965,2,-4.4,7,6.64,-1.7
1965,3,23,12.44,4.69,2.3
1965,4,24.8,24.75,4.21,0
1965,5,33.1,39.26,2.86,-2.2
1965,6,46.3,50.32,1.47,-2.7
1965,7,51.1,53.77,1.57,-1.7
1965,8,47.8,50.02,2.01,-1.1
1965,9,43.4,40.84,2.88,0.9
1965,10,18.7,25.22,4.17,-1.6
1965,11,14.6,11.77,5.08,0.6
