1956,12,13.914,-1.33,1.63,10.3,4.2
1957,1,15.208,-1.32,1.83,5.6,4.2
1957,2,15.432,-1.34,1.9,-2.2,3.9
1957,3,15.467,-0.67,1.95,-0.9,3.7
1957,4,15.215,-0.53,1.63,1.2,3.9
1957,5,13.939,0.22,1.2,-12.2,4.1
1957,6,12.81,1.51,1.07,-2.3,4.3
1957,7,11.378,0.8,0.84,0.9,4.2
1957,8,9.477,0.58,0.88,-9.5,4.1
1957,9,8.039,1.85,0.65,-10.6,4.4
1957,10,9.986,1.76,1.7,-1.3,4.5
1957,11,11.973,1.8,1.68,-11.9,5.1
1957,12,13.747,0.58,1.62,-3.5,5.2
1958,1,15.36,0.78,0.79,-16.8,5.8
1958,2,16.004,0.9,0.52,-6.9,6.4
1958,3,15.321,0.8,0.65,-1.4,6.7
1958,4,15.293,1.02,-0.07,1.2,7.4
1958,5,13.971,1.58,0.05,-8.2,7.4
1958,6,13.467,1.61,0.79,0.2,7.3
1958,7,11.255,0.82,1.23,2.2,7.5
1958,8,9.322,1.37,0.02,7.8,7.4
1958,9,8.321,1.04,-0.05,-3.4,7.1
1958,10,10.206,0.44,0.73,-1.9,6.7
1958,11,11.966,0.48,0.04,-4.7,6.2
1958,12,13.559,0.94,0.22,-6.5,6.2
1959,1,15.112,0.88,0.28,-8.7,6
1959,2,15.444,0.4,0.31,-14,5.9
1959,3,15.885,0.31,0.26,8.4,5.6
1959,4,15.962,0.23,0.62,3.6,5.2
1959,5,14.318,0.29,0.53,2.8,5.1
1959,6,13.446,0.45,0.7,-6.3,5
1959,7,11.825,-0.05,0.72,-5,5.1
1959,8,8.975,0.03,0.92,-5,5.2
1959,9,7.407,-0.15,1.29,0.2,5.5
1959,10,9.438,1.03,1.34,4.2,5.7
1959,11,11.435,1.3,1.26,11.1,5.8
1959,12,13.646,0.94,-0.02,8.2,5.3
1960,1,14.462,0.42,-0.71,0.3,5.2
1960,2,15.371,0.58,-0.55,-2.2,4.8
1960,3,15.21,0.48,-0.84,5.6,5.4
1960,4,14.844,0.32,-0.55,7.8,5.2
1960,5,13.768,0.61,-1.1,5.2,5.1
1960,6,12.758,1.12,-0.75,-2.3,5.4
1960,7,11.367,0,-0.25,4.8,5.5
1960,8,8.315,0.2,-0.15,6.6,5.6
1960,9,7.434,-0.46,0.36,6.9,5.5
1960,10,9.61,-0.15,-0.04,-0.7,6.1
1960,11,11.705,-0.14,-1.45,7.2,6.1
1960,12,13.328,0.05,-1.08,6.7,6.6
1961,1,14.774,0.74,-0.97,-2.5,6.6
1961,2,15.138,0.73,-1.05,6.3,6.9
1961,3,15.478,0.61,-1.36,-20.9,6.9
1961,4,15.455,0.47,-0.65,9.4,7
1961,5,14.356,0.07,-0.5,1.3,7.1
1961,6,12.732,-0.27,-0.68,-3.1,6.9
1961,7,11.182,-0.63,-0.13,2.2,7
1961,8,9.026,-0.2,0.89,0.1,6.6
1961,9,7.338,-0.63,0.89,0.8,6.7
1961,10,9.81,-1.27,1.66,-5,6.5
1961,11,11.603,-1.08,0.38,7.2,6.1
1961,12,13.375,-1.46,0.65,13.8,6
1962,1,14.132,-0.91,1.18,17,5.8
1962,2,14.735,-0.83,1.41,5.3,5.5
1962,3,15.172,-0.67,0.99,-1.4,5.6
1962,4,15.344,-0.52,1.31,1.2,5.6
1962,5,14.045,-0.8,1.24,12.3,5.5
1962,6,13.327,-1.29,1.83,5,5.5
1962,7,11.827,-1.09,2.21,-0.4,5.4
1962,8,9.57,-0.28,1.28,4.6,5.7
1962,9,8.649,-1.09,1.47,5.1,5.6
1962,10,10.092,-1.28,0.1,10.3,5.4
1962,11,11.873,-0.26,-0.26,5.2,5.7
1962,12,13.844,-0.17,0.09,0.6,5.5
1963,1,14.756,0.12,1.37,9.4,5.7
1963,2,16.445,0.32,2.56,3,5.9
1963,3,15.772,0.01,2.19,7.3,5.7
1963,4,16.005,-0.21,2.08,6.1,5.7
1963,5,14.768,-0.68,1.8,2.8,5.9
1963,6,13.566,-0.5,1.13,-9.6,5.6
1963,7,12.021,-0.98,2,-1,5.6
1963,8,10.349,-0.62,2.34,-2.4,5.4
1963,9,9.292,0.91,0.93,-5.2,5.5
1963,10,9.854,0.33,0.5,-12.9,5.5
1963,11,11.86,-0.33,-0.13,-9.3,5.7
1963,12,13.823,0.34,0.41,-11.6,5.5
1964,1,14.904,0.41,0.02,-4,5.6
1964,2,15.329,0.23,0.25,-0.3,5.4
1964,3,15.604,-0.44,0.1,8.4,5.4
1964,4,15.611,-0.71,0.24,13.5,5.3
1964,5,14.379,-1.59,0.83,2.8,5.1
1964,6,13.527,-0.46,0.88,7.4,5.2
1964,7,12.012,-0.88,-0.16,6.8,4.9
1964,8,9.545,-1.36,-0.26,14.3,5
1964,9,8.635,-1.22,-0.79,14.1,5.1
1964,10,10.153,-0.58,-1.23,12.8,5.1
1964,11,11.579,-0.66,-0.63,2.6,4.8
1964,12,13.755,-0.74,0.85,-3,5
1965,1,14.524,-1.04,1.1,-4,4.9
1965,2,15.626,-0.61,0.63,1.6,5.1
1965,3,15.318,-0.12,1.21,2.9,4.7
1965,4,14.733,-0.09,1.25,-12.9,4.8
1965,5,14.041,-0.6,1.11,-0.3,4.6
1965,6,12.908,-0.74,0.4,-12.8,4.6
1965,7,11.729,-0.63,0.43,-22.6,4.4
1965,8,9.284,0.23,-0.67,-11.4,4.4
1965,9,8.478,0.75,0.51,-14.2,4.3
1965,10,10.225,0.3,0.66,-11.1,4.2
1965,11,12.64,0.3,0.43,-17.9,4.1
1965,12,13.815,0.16,-0.14,1.6,4
1966,1,14.668,-0.61,-0.02,-12,4
1966,2,15.998,-0.34,-0.39,-4.1,3.8
1966,3,16.305,-0.67,-0.03,-13.9,3.8
1966,4,15.854,-0.17,0.36,-7.1,3.8
1966,5,14.401,-0.46,0.67,-9,3.9
1966,6,13.237,0.05,0.41,1,3.8
1966,7,11.867,0.01,-0.21,-1,3.8
1966,8,9.542,-0.09,-0.27,4,3.8
1966,9,8.375,-0.16,-0.46,-2.2,3.7
1966,10,10.012,-0.43,0.04,-2.5,3.7
1966,11,12.103,-0.57,0.95,-0.1,3.6
